,Virginia,California,Florida,New York,Massachusetts,the District of Columbia,Colorado,New Jersey,Nevada,Washington,Texas,Indiana,Montana,Wisconsin,Oregon,Arizona,New Hampshire,North Carolina,Georgia,Hawaii,Vermont,Ohio,South Carolina,Minnesota,Missouri,Michigan,Illinois,Maryland,Idaho,Utah,Tennessee,Connecticut,Oklahoma,West Virginia,Pennsylvania,Mississippi,Nebraska,Iowa,Kansas,Rhode Island,South Dakota,Alaska,Louisiana,New Mexico,Delaware,Alabama,North Dakota,Arkansas,Wyoming,Maine,Kentucky
2000-11-01,120750.7422681513,206153.2259306775,109642.33302545066,133353.7959201662,208962.20066208811,161604.86274753071,191196.07493796738,165623.69425232185,160181.65057087713,173171.87934301936,104977.20401520096,94922.92803511136,,105860.42621367432,151953.67702201533,136173.33724131744,139923.60671929308,125276.62186561804,122304.03743182503,183738.72741915248,93532.41601950828,102746.83239865086,107437.20096123441,127927.88312812087,92322.1687039571,108588.60790664003,120102.55317527072,147219.37431164307,121251.95721704142,168491.83451455203,94925.6288257332,171095.4796086326,74965.93646180927,59890.8600687193,94042.64430595742,72174.43644245942,111826.81861147807,81274.0526294253,76300.08761970206,138584.50074463725,93794.96009557521,127760.3047349869,89697.47932193521,,142942.14666963785,82274.48331544758,,73062.62389903747,,103323.27536080552,84313.53818389327
2000-12-01,121600.13921735162,208473.37579888315,110352.65140426479,134402.46663798756,211829.92960691635,161942.35896427117,193141.07396908468,166930.0406112279,160893.75837481313,173942.61310347207,105325.09120652899,95544.93446798799,,106364.74188973223,152395.59451428827,136788.55149750397,141688.8862814757,125836.40446776472,123193.51496790547,184443.89932175385,94213.79671416916,103182.37331600739,107842.05455629034,129442.15813964272,92969.69749993947,109354.31510840099,120880.61690707924,148039.83526672047,121488.43691958128,169002.85495065147,95269.68454441754,172349.39843317555,75309.83992774835,60364.71682168771,94484.75003286025,72692.64494686585,112144.95091756778,81697.68530480149,76671.12521017504,139658.41058314496,93709.99161277285,128079.27674618969,90200.4889970963,,143656.8005943358,82639.50929724053,,73471.84173906205,,104294.2982672205,84734.7263990849
2001-01-01,122455.50935475976,210435.22202760773,111002.53566005507,135411.09013152422,214421.06203800594,162690.1962974127,195091.45281810782,168152.84497936442,161623.97126761667,174749.64890484503,105534.36134538484,95992.75525237255,,106826.6971148425,152894.27996183108,137387.9920385806,143295.4797470797,126414.12007087452,124057.22566527803,185036.01280183738,94825.1404717443,103586.8854150544,108313.39223917697,130808.20716816797,93453.21045868908,110077.5631435899,121440.44235283039,148717.24169021563,121871.84887023836,169479.50609729538,95663.46307414041,173448.35505717658,75692.53648765112,60927.231038719045,94921.03003470328,73164.49596872051,112631.29435692292,81985.31649692319,77130.1266291208,140713.32174246476,93766.64978501614,130333.92484658574,90757.47876756656,,144449.16309128577,83046.8309575866,,73927.97151680331,,105487.33520860858,85222.24676249358
2001-02-01,123212.84203354613,212376.65256292024,111647.98234128927,136251.03890518297,216787.5192180133,163457.22479263615,196929.41671253994,169502.3758680262,162398.9743610843,175548.50667021648,105505.54592041159,96143.4087454665,,107277.27352729447,153317.11182905943,137986.0060853945,145015.55782226007,126843.33372592945,124799.65210049192,185623.19878788095,95510.48600050244,103908.43933588271,108734.92197529691,132029.09238356294,93787.70858886983,110632.83947291638,122002.54610639844,149332.9369945335,122260.95246978069,169753.62018451994,95976.38080018072,174360.26255405348,76066.62067466571,61272.549393326706,95320.00733838335,73447.43922962243,112957.53049407013,82246.3940965847,77653.70954940324,141770.7280146729,93957.3164095878,133901.4147310292,91244.47270763166,,145096.6855792131,83391.32750184867,,74207.65115299198,,106590.34093538672,85661.53638666983
2001-03-01,123990.94274596286,214563.60019684365,112322.44279826469,137006.65951879334,219121.03670075955,164519.06795787564,198792.78505201405,170842.50434806038,163243.68587661124,176298.57121995362,105300.15385419666,96137.89728998404,,107726.96751054724,153765.59954881645,138586.80059640825,146636.27017964408,127187.51257186219,125432.46486875122,186149.82138603748,96230.6281308024,104205.53538514364,109171.25705019501,133238.60412476223,94156.82720035927,111081.57151472778,122612.69959146921,149855.85232718269,122796.51453579677,169915.3941550357,96240.26137129513,175372.95084792865,76392.52149248177,61528.11589594496,95721.45634608496,73618.91899077232,110682.29743213339,82413.4166676725,78200.26289606025,142895.81457299457,94348.16124289039,138454.11765215173,91715.3133686155,,145801.8260152803,83674.76679710574,,74410.21145666223,,107623.48639916258,86073.45608845649
2001-04-01,124802.60860461846,217283.57146893255,113118.5495210653,137791.54682741736,221532.8511045673,166135.4460971702,200606.75355351754,172257.8131533609,164088.9891910083,177029.9669002886,105178.09855201602,96088.3741891459,,108222.77668287349,154156.22638585485,139197.42287192316,148310.2882934553,127439.16520050379,126014.49118212366,186776.68875640965,96949.6345563751,104498.1900644602,109469.9526789545,134545.75241266654,94630.92719853586,111470.31724378165,123234.6273416315,150558.85850449905,123312.1855336373,170079.60859902832,96450.98636734499,176541.75577944887,76700.31071298567,61652.38064818293,96152.33674730298,73761.36976636264,107435.56639256033,82642.48120188025,78669.46190447501,144200.96997632834,94699.27571950915,141899.7760939053,92127.97076407925,,146473.98046326105,83878.54315722089,,74548.19782003299,,108440.22705819922,86438.23533934586
2001-05-01,125701.16531582775,220008.113937716,113990.11834122865,138655.66046333624,224024.87471641987,167980.52206320062,202416.4188848167,173653.3150083993,164988.95315662315,177659.88302148567,105216.78693956354,96274.79416448106,,108735.645392537,154594.3069294842,139817.18323774863,150180.85010975646,127733.26360028649,126657.87031878445,187674.92970482438,97614.59242945343,104815.42902957252,109807.4578529008,135881.2758536964,95193.36437263335,111945.18273521436,123974.8976474881,151384.28743718256,123815.95831370806,170173.23448996598,96693.68696236402,177858.6077037274,76968.18816428802,61900.29782367082,96564.71789193997,74020.22886726719,104076.10309214958,82901.19687139535,79110.12210644306,145590.814466852,95219.9608545071,144755.0362250365,92504.50305039388,,147170.46067016653,84080.22277529899,,74813.18569390256,,109418.88344291817,86821.76360662213
2001-06-01,126601.2320081055,222482.4630104547,114899.89734200698,139608.8892242208,226641.18053934153,169784.37846837429,204033.32642025288,175208.2794822421,165861.13247142022,178304.7649940798,105338.16837868799,96614.82037247036,,109277.19595184714,155051.28800097827,140443.56283691424,152182.6590089091,128030.75023985135,127300.89560967695,188694.71617945514,98241.97806409597,105128.26990356094,110166.36844718382,137219.16577932087,95808.51443804863,112433.75343443277,124755.38550299029,152378.5938044173,124189.90068146546,170333.7519345231,96929.97258737679,179186.8181393574,77232.48688009311,62152.77714913022,96984.51704740936,74296.402952713,103231.91907265777,83230.50421695551,79539.0477388338,147030.43651277712,95489.48582541612,147154.15903821329,92848.10945531058,,147854.31927005874,84287.888579315,,75118.10191834277,,110499.1537657093,87234.0705944375
2001-07-01,127571.67923645099,224799.11814320102,115878.18529010641,140609.79745345155,229415.10562718593,171605.4118376088,205628.42221794478,176883.5554446344,166789.61167303592,178915.38504112465,105481.68715510717,97031.72239342025,,109854.3199768018,155586.7665513012,141039.94023222924,154185.40860622178,128316.33464948674,127942.88620336242,189815.0187592409,98884.56187060039,105478.19417617655,110606.25720235783,138623.93062591474,96437.04719099845,112944.23280073272,125561.19734910411,153448.2786063845,124573.21051132755,170469.51598174288,97155.854161006,180475.27914163112,77480.47195448128,62405.64844966247,97436.14457346006,74526.62089553049,103206.64457462744,83563.8237807534,79961.3009169239,148576.50331877355,95748.00832233275,149405.44174068325,93176.97766402194,,148505.45481818888,84523.18569872207,,75470.4679576251,,111715.78662776733,87648.69693341415
2001-08-01,128550.00253877946,227032.36850011014,116915.18990695756,141661.02108448694,232436.97542117295,173614.23115711057,207204.74300952032,178733.65316362158,167736.26305811698,179668.9498425197,105611.40583241945,97401.70941998927,,110462.27793075354,156196.1343632233,141627.7499937746,156013.7812779379,128642.75722577791,128595.39050341472,190912.47545171625,99474.49557682838,105867.358693968,110965.99696097594,140155.24175926961,97013.70031238615,113487.92854955401,126542.67819147302,154625.47182207042,125037.9352004573,170730.95016154574,97421.23606910226,182143.75033619403,77757.25232594057,62640.41487811349,97933.54362654539,74789.29995932813,103366.88188288656,83929.52177413327,80358.86532098538,150420.7410222952,95811.27264968405,151035.84796424038,93546.7620771283,,149195.11315881848,84732.78894999514,,75766.83989293144,,112758.44166219223,88017.76305465073
